ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,PID,Lon,Lat
185,93483881,5114,secondary,浐河西路, ,F,0,0,F,F,1,109.021844,34.324246
202,120859765,5112,trunk,北三环路, ,F,0,0,F,F,2,109.001979,34.361967
338,152647604,5114,secondary,西三环辅路, ,F,0,0,F,F,3,108.837387,34.249607
432,181010735,5114,secondary,西三环辅路, ,F,0,0,F,F,4,108.840968,34.203999
461,181212633,5111,motorway,西安绕城高速,G65;G69;G3002,F,0,0,F,F,5,108.870235,34.19069
529,220732146,5114,secondary,石化大道, ,F,0,0,F,F,6,108.899611,34.328122
821,265621012,5111,motorway,西安绕城高速,G65;G69;G3002,F,0,0,F,F,7,108.824984,34.192548
827,265912097,5114,secondary,浐河东路, ,T,0,0,F,F,8,109.032852,34.286432
828,265946732,5113,primary,太华南路, ,F,0,0,F,F,9,108.966881,34.334173
829,265946733,5113,primary,太华南路, ,F,0,0,F,F,10,108.966596,34.284415
1633,527604135,5114,secondary,石化大道, ,F,0,0,F,F,11,108.859635,34.323393
1728,753549063,5114,secondary,浐河东路, ,F,0,0,F,F,12,109.032809,34.286355
1884,766511403,5114,secondary,浐河西路, ,F,0,0,F,F,13,109.035129,34.277892
